maincate,subcate,title,ranking,oprice,sprice,Fed
ALL,ALL,[세인트이브스]바디워시 400ml x5개 아사이 블루베리 바디클렌저,1,24900,7900,무료배송
ALL,ALL,[락앤락]락앤락 스마트 진공쌀통 20kg,2,109000,109000,무료배송
ALL,ALL,12%쿠폰할인 균일가 메이시스 여름 홈웨어/파자마,3,19600,5900,무료배송
ALL,ALL,[한글과컴퓨터]한컴 KF80 마스크 (30매/대형) (1set/5매입) X 6묶음,4,28500,28500,무료배송
ALL,ALL,널담은뚱카롱 썸머빅세일13904 널담마카롱8구감동세트,5,37300,14900,무료배송
ALL,ALL,쉬블림로브 12%쿠폰  블라우스 빅사이즈 원피스 셔츠,6,33000,9900,무료배송
ALL,ALL,소 살치살 200gX4팩총800g/2세트구매계란증(13일출고),7,31350,20900,무료배송
ALL,ALL,춘천명물 유명맛집 봄봄 춘천닭갈비 1kg+1kg 특가,8,28500,19900,무료배송
ALL,ALL,[쾌변]파스퇴르 쾌변두유 플레인 190mlx48팩,9,24900,19900,무료배송
ALL,ALL,[이너리즘]이너리즘 에어 1+1 시원하고 편한 쿨모달 브라나시,10,43000,12900,무료배송
ALL,ALL,이그잼플)빅사이즈 L~4XL 남성 반팔티 쿨 티셔츠 긴팔,11,19600,5900,무료배송
ALL,ALL,쿠폰12% 균일가 원피스/블라우스/여름니트 빅사이즈,12,33000,9900,무료배송
ALL,ALL,[안다르]20%+10% 안다르 시즌오프 Vol.1,13,39000,23900,무료배송
ALL,ALL,[케이스위스]케이스위스/르까프 트레이닝 세트/티셔츠/쇼츠,14,33000,11300,무료배송
ALL,ALL,[하비비]하비비 팡팡 세탁조배수구 클리너 세트(+절수샤워기),15,39800,37500,무료배송
ALL,ALL,아희패션 원피스 블라우스 스커트 가디건 자켓,16,32900,9900,무료배송
ALL,ALL,[햇반]CJ 햇반 매일잡곡밥 210g x 24개 (낱개출고),17,26900,25900,스마일배송
ALL,ALL,[카파_잠실] 남여 변형없는 시원한 칠부트레이닝바지 KLFH281MOFO,18,27000,17820,유료배송
ALL,ALL,[스카트]스카트 THE 보송 습기제거제 20개(1BOX),19,25900,14900,스마일배송
ALL,ALL,[종근당]종근당건강 락토핏 생유산균 골드 5통 (250일분),20,61900,61900,스마일배송
ALL,ALL,백인수 포기김치 3kg 배추김치 HACCP 국내산 100%,21,15900,15790,무료배송
ALL,ALL,달리샵 12%쿠폰 요즘 잘나가서 난리난 티셔츠/원피스,22,33000,9900,무료배송
ALL,ALL,[토프]확장형 씽크인주방선반/후라이팬정리대/접시정리대 외,23,10000,10000,무료배송
ALL,ALL,[데일리앤]데일리앤 여름신상/반팔티/브이넥/레터링/롱티셔츠,24,23000,6900,무료배송
ALL,ALL,[오뚜기밥]맛있는 오뚜기밥 210g x 24개입(1박스),25,26900,18500,스마일배송
e쿠폰/티켓,ALL,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 5만원 /온라인 전용,1,50000,46250,유료배송
도서/음반,ALL,(8/6)(선택구매) D-icon 디아이콘 아이즈원 vol.08 IZONE look at my iZ (7/10~7/19 예약판매),1,26700,26700,무료배송
여행,ALL,|경북나드리/최대50%할인|경주(경주월드+엑스포공원)/얼리버드/당일사용,1,26000,15600,유료배송
ALL,ALL,꼬뜨게랑 유니섹스 로고 티셔츠,26,24500,19900,무료배송
ALL,ALL,옛날과자 센베이 고급종합전병 1kg+1kg,27,22300,8900,무료배송
ALL,ALL,[겔업]겔업 고농축 액체세제 2.5L x 4개 세탁세제 총10000ml,28,25000,7900,무료배송
ALL,ALL,[리브맘]2020년 시원한 여름 침대 쿨매트 특대형/중형 쿨방석,29,49000,14900,무료배송
ALL,ALL,커플 래쉬가드 서핑슈트 세트 남 3pcs 여 5pcs  A,30,62000,19500,무료배송
ALL,ALL,[스카트]스카트 THE 버블 수세미 브라운 50매X3롤,31,20900,10900,스마일배송
ALL,ALL,[켈로그]콘푸로스트2+아몬드푸레이크2(총4박스)+디스펜 레드,32,26000,22900,스마일배송
ALL,ALL,[세노비스]여성 트리플러스우먼 멀티비타민미네랄 90+10캡슐,33,31900,31900,무료배송
ALL,ALL,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),34,25000,14900,스마일배송
e쿠폰/티켓,ALL,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용,2,30000,27750,유료배송
e쿠폰/티켓,ALL,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,3,50000,46500,유료배송
e쿠폰/티켓,ALL,[KFC](KFC) 징거치킨2인팩,4,20200,11500,유료배송
e쿠폰/티켓,ALL,[해피머니](카드가능)(해피머니) 온라인상품권 3만원,5,30000,27900,유료배송
도서/음반,ALL,(시매쓰) 빨라지고 강해지는 도형/연산 단계별 세트 선택구매(전4권),2,30000,27000,무료배송
도서/음반,ALL,(예약판매) 몬스타엑스 2020 화보집 MONSTA X 2020 PHOTO BOOK (XIESTA) / 포토북 발매일 : 8월 12일,3,42000,42000,유료배송
도서/음반,ALL,(예약판매) 몬스타엑스 2020 화보집 MONSTA X 2020 PHOTO BOOK (COMMA) / 포토북 발매일 : 8월 12일,4,42000,42000,유료배송
도서/음반,ALL,단계별 학습이 가능한 Reading Skill Book Series/리딩루키/리딩에이스/리딩챔피온,5,180000,90000,무료배송
도서/음반,ALL,(8/6) 7/10~7/19 예약판매 D-icon 디아이콘 vol.08 아이즈원 IZONE look at my iZ,6,26700,26700,무료배송
도서/음반,ALL,Easy/Subject/insight Link/각 단계별 3권구성 선택,7,171000,85500,무료배송
도서/음반,ALL,(교재+교구 특별세트) 도전~ 역사탐험대 | 한국사 / 세계사 | 초등역사교재 추천 | 7/13이후 순차발송,8,51700,47000,무료배송
도서/음반,ALL,[크레용하우스]크레용하우스 공룡 유치원 세트 개정판 전12권,9,97000,96780,무료배송
도서/음반,ALL,(삼국지 반짝특가) 주니어김영사 2020 어린이 삼국지 1~5권 세트,10,71500,65000,무료배송
도서/음반,ALL,마음콩 쑥쑥 베스트 12종 재재/토리인형세트 두뇌야 놀자 시리즈 선택구매,11,156860,78430,무료배송
도서/음반,ALL,(베스트셀러) 100층짜리 집 시리즈 / 500년 전통 OXFORD 그림책 - 선택구매,12,54000,54000,무료배송
여행,ALL,[키자니아](카드10%할인) 직업체험 NO.1 키자니아 서울/부산 이용권(7/1~8/31) / 키자니아/서울/부산/직업체험,2,42000,25200,유료배송
여행,ALL,|호텔위크|최대10만원할인| 롯데호텔제주+특전 (제주도여행/제주여행/제주호텔/롯데호텔),3,350000,229000,유료배송
여행,ALL,(공식판매처) 에버랜드 종일/오후/나이트권(~8/31),4,46000,22900,무료배송
여행,ALL,|호텔위크|최대10만원할인|파라다이스호텔부산(부산여행/부산호텔/해운대호텔/수영장호텔),5,500000,249000,유료배송
여행,ALL,(공식판매처) 에버랜드 종일권 얼리버드 특가 (방문일 지정)(~9/30),6,56000,30000,무료배송
여행,ALL,ㅣ카드10%할인ㅣ제주 아쿠아플라넷 종합권특가/제주아쿠아리움7/31까지사용가능,7,23000,23000,무료배송
여행,ALL,|경북나드리/최대50%할인|포항(라한호텔숙박+기념관+크루즈+카페)/얼리버드,8,128000,76800,유료배송
여행,ALL,[기프티엘] 롯데지알에스 10만원 통합이용권,9,80000,80000,무료배송
여행,ALL,(공식판매처)천안 오션어드벤처 썸머/핫썸머 입장권,10,59000,19500,무료배송
ALL,ALL,[네스카페]콜드브루 60T/커피/커피믹스 +증정,35,19900,15900,무료배송
ALL,ALL,키즈웰 천연과즙 얼려먹는 젤리스트로우 800gx2/젤리,36,34800,13900,무료배송
ALL,ALL,[KFC](KFC) 징거치킨2인팩,37,20200,11500,유료배송
ALL,ALL,[올젠](신세계강남점)올젠 SS 카라티셔츠/팬츠 10종 택1[ZPA2TT1502/ZOZ2PP1301/ZOZ2PP1308],38,30000,21840,무료배송
ALL,ALL,[켈로그]콘푸로스트2+아몬드푸레이크2(총4박스)+디스펜 민트,39,26000,22900,스마일배송
ALL,ALL,12%쿠폰 데이뮤즈 원피스/린넨/자켓/블라우스/바지/롱,40,33000,9900,무료배송
ALL,ALL,롤프의 지도책 시리즈 전8권(재정가 세트),41,69000,62300,무료배송
ALL,ALL,여름신상 셔츠/여름셔츠/체크남방/헨리넥/여름코디,42,23000,6900,무료배송
스포츠/자동차,ALL,[베스트웨이]물놀이 베스트웨이 튜브 풀장 물놀이용품전,1,65800,32900,무료배송
가구/침구,ALL,[리브맘]2020년 시원한 여름 침대 쿨매트 특대형/중형 쿨방석,1,49000,14900,무료배송
컴퓨터/전자,ALL,[삼성전자]인증점 삼성 무선 핸디 진공 청소기 VC-H22 무료배송,1,40650,32000,무료배송
생활/주방/건강,ALL,굿매너 KF94 황사 마스크 대형 국산 개별 포장 30매,1,34900,34900,무료배송
식품,ALL,[놀부부대찌개]놀부 욕심담은 부대찌개 4팩 + 라면사리 2개 세트,1,34200,23900,무료배송
유아동/출산,ALL,[릴리유]웰컴딜 릴리유 퓨어퍼플 물티슈 캡72매X10팩,1,19900,19900,스마일배송
화장품/헤어,ALL,[라네즈]네오 쿠션 매트 15G/24시간모공커버/쿠션팩트/컨실러급,1,25000,25000,무료배송
신발/잡화,ALL,[투투삭스]여름신상 양말 균일가 패션양말/스니커즈/골지/학생,1,23000,6900,무료배송
e쿠폰/티켓,ALL,[에쓰오일](S-OIL) 모바일 주유권 5만원권,6,50000,48500,유료배송
e쿠폰/티켓,ALL,[빕스](빕스) 15000원 할인권,7,1500,1500,유료배송
